[2024-05-20 14:41:59,193: INFO: main: Welcome to our custom logging]
[2024-05-20 14:43:01,987: INFO: main: Welcome to our custom logging]
[2024-05-22 12:24:25,441: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-22 12:24:25,441: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-22 12:24:25,441: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-22 12:24:25,441: INFO: common: created directory at: artifacts]
[2024-05-22 12:24:25,458: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-22 12:24:25,460: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-22 12:24:44,039: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-22 12:24:46,046: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
